arrival_time,market_id_in_subsession,e_best_bid,e_best_offer,e_signed_volume
0.094,1,1020000,2147483647,0
0.12300000000000001,1,1020000,2147483647,0
0.128,1,1020000,1070000,0
0.182,1,1020000,1070000,0
0.261,1,1020000,1070000,0
0.302,1,1060000,1070000,0
0.539,1,1060000,1060000,0
0.552,1,1020000,1060000,0
0.648,1,1050000,1060000,0
0.772,1,1040000,1060000,0
0.987,1,1040000,1070000,0
1.016,1,1020000,1070000,0
1.058,1,1040000,1070000,0
1.065,1,1040000,1050000,0
1.548,1,1030000,1050000,0
1.578,1,1030000,1030000,0
1.62,1,1030000,1030000,0
1.695,1,1030000,1050000,0
1.72,1,1030000,1050000,0
1.722,1,1030000,1050000,0
1.785,1,1050000,1050000,0
1.8319999999999999,1,1030000,1050000,0
1.85,1,1030000,1030000,0
1.854,1,1030000,1030000,0
1.931,1,1030000,1030000,0
1.945,1,1030000,1030000,0
1.9869999999999999,1,1030000,1030000,0
2.465,1,1030000,1030000,0
2.576,1,1030000,1040000,0
2.647,1,1040000,1040000,0
3.07,1,1040000,1050000,0
3.1430000000000002,1,1040000,1050000,0
3.3,1,1040000,1050000,0
3.325,1,1040000,1050000,0
3.362,1,1040000,1040000,0
3.4819999999999998,1,1040000,1040000,0
4.029,1,1040000,1040000,0
4.274,1,1030000,1040000,0
4.2989999999999995,1,1030000,1040000,0
4.314,1,1030000,1040000,0
4.354,1,1030000,1040000,0
4.717,1,1030000,1050000,0
4.9910000000000005,1,1030000,1030000,0
5.002,1,1030000,1040000,0
5.347,1,1030000,1040000,0
5.394,1,1030000,1040000,0
5.481,1,1030000,1040000,0
5.53,1,1030000,1050000,0
5.5329999999999995,1,1030000,1050000,0
5.6979999999999995,1,1030000,1040000,0
5.74,1,1030000,1040000,0
6.017,1,1030000,1040000,0
6.037999999999999,1,1020000,1040000,0
6.148,1,1020000,1040000,0
6.178,1,1020000,1040000,0
6.185,1,1020000,1040000,0
6.2860000000000005,1,1020000,1040000,0
6.296,1,1030000,1040000,0
6.605,1,1030000,1030000,0
6.704,1,1020000,1030000,0
6.718,1,1020000,1030000,0
6.906000000000001,1,1020000,1030000,0
7.082999999999999,1,1030000,1030000,0
7.558,1,1030000,1030000,0
7.9910000000000005,1,1030000,1030000,0
8.401,1,1030000,1040000,0
8.575,1,1030000,1040000,0
8.895,1,1030000,1040000,0
8.93,1,1030000,1040000,0
8.951,1,1030000,1040000,0
8.991,1,1030000,1040000,0
9.132,1,1030000,1040000,0
9.181000000000001,1,1030000,1040000,0
9.282,1,1030000,1040000,0
9.32,1,1030000,1040000,0
9.372,1,1030000,1040000,0
9.462,1,1030000,1040000,0
9.48,1,1030000,1040000,0
9.505,1,1030000,1040000,0
9.556000000000001,1,1030000,1040000,0
9.607000000000001,1,1030000,1040000,0
9.649,1,1030000,1040000,0
9.672,1,1030000,1040000,0
9.857999999999999,1,1030000,1030000,0
10.43,1,1020000,1030000,0
10.523,1,1020000,1040000,0
10.585999999999999,1,1030000,1040000,0
10.720999999999998,1,1040000,1040000,0
10.867,1,1030000,1040000,0
10.902999999999999,1,1030000,1040000,0
11.272,1,1050000,1050000,0
11.288,1,1030000,1050000,0
11.779000000000002,1,1030000,1050000,0
11.834000000000001,1,1030000,1030000,0
12.09,1,1020000,1030000,0
12.262,1,1020000,1030000,0
12.422,1,1030000,1030000,0
12.856,1,1020000,1030000,0
13.439,1,1020000,1030000,0
14.097000000000001,1,1020000,1020000,0
14.142000000000001,1,1020000,1020000,0
14.54,1,1020000,1020000,0
14.695,1,1020000,1020000,0
14.709000000000001,1,1020000,1020000,0
14.835,1,1020000,1020000,0
14.87,1,1020000,1020000,0
14.931,1,1020000,1020000,0
14.964,1,1020000,1020000,0
15.22,1,1020000,1020000,0
15.494000000000002,1,1020000,1020000,0
15.812999999999999,1,1020000,1020000,0
16.006,1,1010000,1020000,0
16.427,1,1010000,1020000,0
16.495,1,1010000,1020000,0
16.559,1,1010000,1020000,0
16.622,1,1010000,1020000,0
16.777,1,1010000,1020000,0
16.875999999999998,1,1010000,1020000,0
16.989,1,1010000,1020000,0
17.018,1,1020000,1020000,0
17.090999999999998,1,1020000,1030000,0
17.105,1,1020000,1030000,0
17.51,1,1010000,1030000,0
17.545,1,1020000,1030000,0
17.546,1,1020000,1030000,0
17.686,1,1010000,1030000,0
17.916,1,1010000,1010000,0
17.944000000000003,1,1010000,1030000,0
18.344,1,1010000,1010000,0
18.798,1,1010000,1030000,0
19.171,1,1010000,1010000,0
19.178,1,1010000,1010000,0
19.624000000000002,1,1010000,1010000,0
19.765,1,1010000,1010000,0
19.794,1,1010000,1010000,0
19.84,1,1010000,1010000,0
19.864,1,1010000,1010000,0
19.878,1,1010000,1010000,0
19.937,1,1010000,1010000,0
20.004,1,1010000,1010000,0
20.375,1,1010000,1010000,0
20.39,1,1010000,1010000,0
20.405,1,1010000,1010000,0
20.436,1,1010000,1010000,0
20.713,1,1010000,1010000,0
20.754,1,1010000,1010000,0
20.761999999999997,1,1010000,1010000,0
20.764,1,1010000,1010000,0
20.820999999999998,1,1010000,1010000,0
20.846999999999998,1,1010000,1010000,0
20.993000000000002,1,1010000,1010000,0
21.033,1,1010000,1010000,0
21.073,1,1010000,1010000,0
21.185,1,1010000,1010000,0
21.483,1,1010000,1010000,0
21.643,1,1010000,1010000,0
22.223000000000003,1,1010000,1010000,0
22.272,1,1010000,1020000,0
22.404,1,1020000,1020000,0
22.936999999999998,1,1010000,1020000,0
22.97,1,1010000,1010000,0
23.093000000000004,1,1010000,1010000,0
23.096,1,1010000,1010000,0
23.199,1,1010000,1010000,0
23.372,1,1010000,1010000,0
23.429000000000002,1,1010000,1010000,0
23.44,1,1010000,1020000,0
23.515,1,1020000,1020000,0
23.604,1,1010000,1020000,0
23.639,1,1010000,1020000,0
23.855999999999998,1,1010000,1020000,0
23.967,1,1000000,1020000,0
24.093000000000004,1,1000000,1020000,0
24.108,1,1000000,1020000,0
24.285999999999998,1,1000000,1010000,0
24.563000000000002,1,1000000,1010000,0
24.705,1,1000000,1010000,0
24.729,1,1000000,1000000,0
24.788,1,1000000,1000000,0
24.791999999999998,1,1000000,1000000,0
24.8,1,1000000,1000000,0
24.9,1,1000000,1000000,0
25.013,1,1000000,1000000,0
25.064,1,1000000,1010000,0
25.069000000000003,1,1000000,1010000,0
25.184,1,1000000,1010000,0
25.226,1,1000000,1010000,0
25.238000000000003,1,1000000,1010000,0
25.678,1,1000000,1010000,0
25.685,1,1000000,1010000,0
26.041999999999998,1,1000000,1000000,0
26.325,1,1000000,1000000,0
26.427,1,1000000,1000000,0
26.455,1,990000,1000000,0
26.589000000000002,1,990000,990000,0
26.594,1,990000,990000,0
27.043000000000003,1,990000,990000,0
27.415,1,990000,990000,0
28.195999999999998,1,990000,990000,0
28.345,1,990000,1000000,0
28.36,1,990000,1000000,0
28.487,1,990000,1000000,0
28.595,1,990000,1000000,0
28.631,1,990000,1000000,0
28.651,1,990000,1000000,0
28.741999999999997,1,990000,1000000,0
28.763,1,990000,990000,0
28.875999999999998,1,990000,990000,0
28.878,1,990000,990000,0
28.883000000000003,1,990000,990000,0
28.92,1,990000,1000000,0
28.959,1,990000,1000000,0
28.997,1,990000,1000000,0
29.063000000000002,1,990000,1000000,0
29.08,1,990000,1000000,0
29.089000000000002,1,990000,1000000,0
29.105,1,990000,1000000,0
29.111,1,990000,1000000,0
29.3,1,990000,1000000,0
29.324,1,990000,1000000,0
29.434,1,990000,990000,0
29.654,1,990000,990000,0
30.168000000000003,1,990000,990000,0
30.338,1,990000,990000,0
30.36,1,990000,990000,0
30.364,1,990000,990000,0
30.436999999999998,1,990000,990000,0
30.511999999999997,1,990000,990000,0
30.545,1,990000,990000,0
30.616,1,990000,990000,0
30.78,1,990000,990000,0
31.244,1,990000,990000,0
31.299,1,990000,1000000,0
31.351999999999997,1,990000,1000000,0
31.795,1,990000,990000,0
31.885,1,980000,990000,0
31.997,1,990000,990000,0
32.135,1,990000,990000,0
32.161,1,980000,990000,0
32.221,1,980000,990000,0
32.353,1,980000,990000,0
32.409,1,980000,990000,0
32.436,1,990000,990000,0
32.936,1,990000,990000,0
33.14,1,990000,990000,0
33.334,1,990000,990000,0
33.624,1,990000,990000,0
33.742,1,990000,990000,0
33.744,1,990000,990000,0
34.336999999999996,1,990000,990000,0
34.345,1,990000,990000,0
34.516,1,990000,990000,0
34.751,1,980000,990000,0
34.836,1,980000,990000,0
34.857,1,980000,990000,0
35.179,1,980000,990000,0
35.833,1,980000,990000,0
35.88,1,980000,990000,0
36.279,1,980000,990000,0
36.339,1,980000,1000000,0
36.471,1,1000000,1000000,0
36.696,1,1000000,1000000,0
36.726,1,1000000,1000000,0
37.255,1,1000000,1000000,0
37.361999999999995,1,990000,1000000,0
37.427,1,990000,990000,0
37.491,1,990000,1000000,0
38.066,1,1000000,1000000,0
38.119,1,1000000,1000000,0
38.616,1,1000000,1000000,0
38.785,1,1000000,1000000,0
39.038000000000004,1,1000000,1000000,0
39.266,1,990000,1000000,0
39.528,1,990000,1000000,0
40.2,1,990000,1000000,0
40.224000000000004,1,990000,1000000,0
40.391,1,990000,1000000,0
40.809,1,990000,990000,0
40.874,1,990000,1000000,0
40.900999999999996,1,1000000,1000000,0
41.071000000000005,1,990000,1000000,0
41.321999999999996,1,990000,1000000,0
41.363,1,980000,1000000,0
41.386,1,980000,1000000,0
41.39,1,980000,1000000,0
41.413999999999994,1,980000,1000000,0
41.708,1,980000,1000000,0
41.725,1,1000000,1000000,0
41.903,1,980000,1000000,0
42.138000000000005,1,980000,1000000,0
42.38399999999999,1,980000,1000000,0
42.398999999999994,1,990000,1000000,0
42.643,1,990000,990000,0
43.146,1,980000,990000,0
43.218999999999994,1,980000,1000000,0
43.247,1,980000,1000000,0
44.236999999999995,1,980000,990000,0
44.273999999999994,1,980000,980000,0
44.475,1,980000,990000,0
44.699,1,980000,990000,0
44.878,1,980000,990000,0
44.953,1,980000,990000,0
44.97,1,980000,990000,0
45.027,1,980000,990000,0
45.053999999999995,1,980000,990000,0
45.071000000000005,1,980000,990000,0
45.145,1,980000,990000,0
45.242,1,980000,990000,0
45.324,1,980000,1000000,0
45.343999999999994,1,980000,1000000,0
45.394,1,980000,1000000,0
45.43600000000001,1,980000,1000000,0
45.464,1,980000,1000000,0
45.537,1,980000,1000000,0
45.56399999999999,1,980000,1000000,0
45.571000000000005,1,980000,1000000,0
45.625,1,980000,990000,0
45.626999999999995,1,980000,990000,0
45.677,1,980000,990000,0
45.71,1,980000,990000,0
45.714,1,980000,990000,0
45.727,1,980000,990000,0
45.806999999999995,1,980000,990000,0
45.857,1,980000,990000,0
45.946999999999996,1,990000,990000,0
45.953,1,990000,990000,0
46.02,1,990000,990000,0
46.184,1,980000,990000,0
46.225,1,980000,990000,0
46.235,1,980000,990000,0
46.3,1,980000,990000,0
46.368,1,980000,990000,0
46.373999999999995,1,980000,990000,0
46.417,1,980000,990000,0
46.443999999999996,1,980000,980000,0
46.626999999999995,1,980000,980000,0
46.896,1,980000,990000,0
46.966,1,980000,980000,0
47.071000000000005,1,980000,990000,0
47.098,1,980000,990000,0
47.335,1,980000,990000,0
47.67,1,980000,980000,0
47.716,1,980000,990000,0
47.831,1,990000,990000,0
48.553999999999995,1,980000,990000,0
48.851000000000006,1,980000,990000,0
48.903999999999996,1,980000,990000,0
