arrival_time,price
0.534,910000
1.099,890000
1.398,900000
1.975,890000
1.997,890000
2.23,890000
2.543,880000
2.568,880000
3.405,890000
4.257,890000
4.356,890000
4.385,890000
5.11,890000
5.343,890000
5.504,880000
5.813,880000
6.804,890000
6.831,880000
7.665,890000
8.06,880000
8.12,880000
8.21,890000
8.381,880000
8.58,880000
8.87,890000
9.063,890000
9.217,890000
10.014,890000
10.022,880000
10.447,890000
10.597,890000
10.985,880000
11.231,890000
11.347,890000
11.669,880000
11.857,880000
11.895,880000
12.461,880000
12.626,880000
12.639,880000
12.647,890000
13.758,890000
13.985,880000
14.104,880000
14.277,880000
14.279,880000
15.395,880000
15.449,880000
15.577,890000
15.698,880000
15.777,870000
15.802,890000
15.9,890000
15.962,890000
16.111,900000
16.359,900000
16.757,870000
16.963,880000
17.144,880000
18.333,880000
18.421,880000
18.627,880000
18.841,880000
19.725,880000
19.782,880000
19.796,880000
19.944,870000
19.969,880000
20.112,890000
20.549,890000
22.55,890000
22.606,890000
22.694,890000
22.745,900000
22.962,900000
23.025,900000
23.248,890000
23.431,900000
23.852,900000
24.045,890000
24.396,890000
24.423,900000
24.527,890000
24.571,900000
25.271,900000
25.4,900000
25.743,900000
25.755,900000
25.825,900000
26.066,900000
26.089,910000
26.101,910000
26.129,910000
26.232,910000
26.235,910000
26.399,910000
26.479,920000
26.759,920000
26.84,920000
26.954,920000
27.006,930000
27.079,930000
27.098,940000
27.151,940000
27.164,940000
27.211,940000
27.408,960000
27.555,970000
27.692,980000
27.694,1000000
27.763,1020000
28.142,1010000
29.878,1040000
29.883,1040000
30.093,1040000
30.103,1040000
30.406,1050000
30.423,1050000
30.6,1030000
31.148,1040000
32.334,1040000
32.376,1040000
32.46,1040000
32.461,1040000
32.762,1050000
33.294,1040000
33.646,1050000
33.745,1050000
34.389,1050000
34.58,1060000
34.991,1060000
35.583,1060000
35.893,1060000
35.913,1060000
35.928,1060000
36.069,1070000
36.157,1070000
36.228,1070000
36.52,1070000
36.702,1070000
36.708,1070000
36.719,1070000
36.736,1070000
36.906,1060000
37.753,1060000
37.871,1070000
38.028,1060000
38.132,1070000
38.399,1060000
38.7,1060000
38.709,1060000
38.845,1070000
39.154,1060000
39.797,1060000
39.828,1060000
39.878,1070000
39.963,1070000
40.091,1060000
40.211,1060000
40.479,1060000
40.62,1060000
40.761,1060000
41.473,1060000
41.518,1060000
41.634,1060000
41.657,1060000
41.721,1060000
41.722,1050000
41.808,1050000
42.072,1040000
42.142,1040000
42.776,1040000
42.862,1040000
42.905,1040000
43.272,1040000
43.329,1040000
43.431,1040000
43.452,1040000
43.513,1020000
44.527,1000000
44.932,1000000
44.949,1000000
45.602,1010000
46.896,1010000
47.001,1010000
47.689,1010000
47.758,1010000
47.907,1010000
49.142,1010000
49.229,1010000
49.277,1010000
49.496,1010000
49.913,1010000
50.096,1010000
50.308,1000000
50.356,1000000
50.444,1000000
50.603,990000
50.805,990000
50.846,990000
51.005,990000
51.145,990000
51.196,990000
51.244,990000
51.669,990000
51.783,990000
52.155,980000
52.274,980000
52.406,980000
53.179,970000
53.228,970000
54.004,970000
54.072,970000
54.468,970000
54.534,970000
54.968,970000
55.023,960000
55.163,960000
55.362,960000
55.509,960000
55.724,950000
56.313,960000
56.407,950000
56.411,950000
56.861,950000
56.992,950000
57.033,950000
57.079,950000
57.162,950000
58.395,950000
58.603,950000
58.653,940000
59.006,940000
59.009,940000
59.034,940000
59.579,940000
59.739,940000
60.109,940000
60.118,940000
60.168,940000
60.328,940000
60.439,930000
60.548,930000
60.555,930000
60.632,930000
60.941,930000
61.01,920000
61.47,920000
61.484,920000
61.83,920000
62.182,920000
62.702,910000
62.737,930000
62.862,910000
63.161,910000
63.331,910000
63.62,910000
63.939,910000
64.086,910000
64.776,900000
65.051,900000
65.49,900000
65.548,910000
65.643,910000
66.659,900000
66.691,910000
66.746,910000
66.778,900000
66.795,900000
66.874,910000
66.942,910000
67.459,920000
68.001,920000
68.066,920000
68.166,920000
68.268,900000
68.613,900000
69.044,900000
69.3,910000
69.371,910000
69.71,900000
69.973,900000
70.047,910000
71.05,900000
71.181,900000
71.429,900000
71.495,900000
71.501,900000
71.725,900000
72.035,900000
72.104,900000
72.534,900000
72.817,910000
73.45,890000
73.598,910000
74.091,890000
74.326,890000
74.403,890000
74.566,890000
74.761,890000
75.067,910000
75.15,910000
75.379,900000
75.637,910000
75.767,910000
76.049,910000
76.225,910000
76.544,910000
77.373,910000
77.454,920000
77.494,920000
77.504,920000
77.605,920000
77.734,920000
78.04,910000
78.071,920000
78.128,910000
78.386,910000
78.39,900000
78.699,920000
78.699,900000
78.94,900000
79.223,900000
