arrival_time,market_id_in_subsession,e_best_bid,e_best_ask,e_signed_volume
0.054000000000000006,1,1020000,2147483647,0
0.078,1,0,2147483647,0
0.136,1,970000,2147483647,0
0.243,1,970000,1060000,0
0.37200000000000005,1,970000,1020000,0
0.46,1,970000,980000,0
1.383,1,970000,990000,0
1.547,1,970000,970000,0
2.397,1,970000,980000,0
2.781,1,970000,980000,0
3.094,1,970000,980000,0
3.141,1,970000,990000,0
3.196,1,970000,990000,0
3.2289999999999996,1,990000,990000,0
3.495,1,990000,990000,0
4.012,1,990000,990000,0
4.188,1,990000,990000,0
4.395,1,990000,990000,0
4.438,1,990000,990000,0
4.478,1,990000,990000,0
4.535,1,990000,990000,0
4.638,1,990000,990000,0
4.672,1,990000,990000,0
4.69,1,990000,990000,0
5.003,1,990000,990000,0
5.039,1,990000,1000000,0
5.165,1,990000,1000000,0
5.189,1,990000,1000000,0
5.421,1,990000,990000,0
5.737,1,990000,990000,0
5.845,1,990000,1000000,0
5.855,1,990000,1000000,0
5.895,1,990000,1000000,0
5.979,1,990000,1000000,0
6.007999999999999,1,990000,1000000,0
6.042999999999999,1,990000,1000000,0
6.22,1,990000,990000,0
6.246,1,990000,1000000,0
6.315,1,980000,1000000,0
6.401,1,980000,1000000,0
6.452999999999999,1,980000,1000000,0
6.551,1,980000,1000000,0
6.655,1,980000,1000000,0
6.727,1,980000,1000000,0
6.7620000000000005,1,980000,1000000,0
6.778,1,980000,1000000,0
6.859,1,980000,1000000,0
6.935,1,990000,1000000,0
6.949,1,990000,990000,0
8.112,1,990000,990000,0
8.179,1,990000,990000,0
8.373,1,990000,1000000,0
8.43,1,990000,1000000,0
8.787,1,990000,1000000,0
8.85,1,990000,1000000,0
8.857999999999999,1,990000,1000000,0
9.357999999999999,1,990000,1000000,0
9.361,1,990000,1000000,0
9.386000000000001,1,990000,1000000,0
9.407,1,990000,1000000,0
9.43,1,990000,1000000,0
10.321,1,990000,1000000,0
10.377,1,990000,1000000,0
10.453,1,990000,1000000,0
10.934000000000001,1,1000000,1000000,0
11.443,1,990000,1010000,0
11.640999999999998,1,990000,1010000,0
11.687999999999999,1,990000,1010000,0
11.743,1,990000,990000,0
12.413,1,990000,990000,0
12.450999999999999,1,990000,1010000,0
12.487,1,990000,1010000,0
12.508,1,990000,1010000,0
12.522,1,1000000,1010000,0
12.704,1,990000,1010000,0
12.797,1,990000,1010000,0
13.206,1,990000,1010000,0
13.227,1,990000,1010000,0
13.329,1,990000,1010000,0
13.347000000000001,1,990000,1000000,0
13.485999999999999,1,1000000,1000000,0
13.892000000000001,1,1000000,1000000,0
13.97,1,1000000,1000000,0
14.225,1,990000,1000000,0
14.228,1,990000,990000,0
14.818,1,990000,1000000,0
15.14,1,990000,1000000,0
15.177999999999999,1,990000,1000000,0
15.251,1,990000,1000000,0
16.188,1,1000000,1000000,0
16.387,1,1000000,1000000,0
16.447,1,1000000,1000000,0
16.563,1,1000000,1010000,0
16.777,1,1000000,1000000,0
17.421,1,1000000,1000000,0
17.545,1,1000000,1000000,0
17.597,1,1000000,1010000,0
17.862000000000002,1,1000000,1010000,0
17.874000000000002,1,1000000,1010000,0
17.932000000000002,1,1000000,1010000,0
18.134,1,1000000,1010000,0
18.238,1,1000000,1010000,0
18.41,1,1000000,1000000,0
18.555999999999997,1,1000000,1000000,0
19.003,1,1000000,1000000,0
19.072,1,1000000,1000000,0
19.13,1,1000000,1000000,0
19.233,1,1000000,1000000,0
19.785999999999998,1,1000000,1000000,0
19.906,1,1000000,1000000,0
20.201,1,1000000,1000000,0
20.656999999999996,1,1000000,1000000,0
21.014,1,990000,1000000,0
21.39,1,1000000,1000000,0
21.539,1,1000000,1000000,0
21.548000000000002,1,1000000,1000000,0
21.576999999999998,1,1000000,1000000,0
21.585,1,1000000,1000000,0
21.625999999999998,1,1000000,1000000,0
21.973000000000003,1,1000000,1000000,0
22.471999999999998,1,1000000,1000000,0
22.559,1,990000,1000000,0
22.592,1,990000,1000000,0
22.639,1,990000,1000000,0
23.09,1,990000,1000000,0
23.429000000000002,1,990000,1000000,0
23.461,1,990000,1000000,0
23.811999999999998,1,1000000,1000000,0
23.851999999999997,1,990000,1000000,0
23.915,1,990000,1000000,0
24.011999999999997,1,980000,1000000,0
24.051,1,980000,1000000,0
24.128,1,980000,1000000,0
24.229,1,990000,1000000,0
24.268,1,1000000,1000000,0
24.43,1,1000000,1000000,0
24.517,1,1000000,1000000,0
24.771,1,1000000,1000000,0
25.024,1,1000000,1000000,0
25.435,1,1000000,1000000,0
25.537,1,1000000,1000000,0
25.555,1,1000000,1000000,0
25.639,1,1000000,1000000,0
25.656,1,1000000,1000000,0
25.691,1,1000000,1000000,0
25.75,1,1000000,1000000,0
25.809,1,1000000,1000000,0
25.816,1,1000000,1000000,0
25.98,1,1000000,1010000,0
26.345,1,1000000,1010000,0
26.354,1,1010000,1010000,0
