arrival_time,price
2.546,1100000
4.758,1130000
5.115,1140000
6.848,1140000
7.412,1140000
7.555,1120000
12.286,1110000
14.47,1110000
20.836,1100000
22.208,1100000
24.266,1100000
27.724,1130000
31.374,1130000
31.52,1130000
31.751,1130000
31.969,1130000
32.19,1140000
33.397,1140000
34.644,1160000
35.398,1160000
35.928,1190000
38.225,1180000
38.395,1170000
39.436,1160000
39.65,1140000
39.702,1140000
39.939,1140000
40.62,1130000
41.147,1130000
41.511,1090000
42.023,1070000
46.929,1070000
51.854,1080000
52.373,1070000
53.122,1070000
53.861,1060000
56.197,1050000
56.37,1020000
62.956,990000
63.143,980000
64.543,990000
66.866,980000
70.57,1010000
75.927,1000000
80.388,1020000
86.66,1040000
86.673,1040000
87.237,1040000
89.94,980000
91.209,990000
94.432,970000
95.561,970000
95.899,970000
101.062,990000
104.345,970000
108.233,990000
110.22,1010000
112.568,980000
113.343,980000
114.671,980000
117.003,980000
118.955,1000000
121.772,980000
121.833,1100000
124.381,1110000
125.255,1120000
126.679,1100000
130.656,1110000
132.254,1100000
136.146,1110000
142.309,1110000
144.724,1100000
146.572,1090000
148.789,1080000
149.096,1050000
149.125,1050000
150.175,1040000
150.338,1030000
151.728,1050000
152.68,1030000
158.724,1050000
162.672,1040000
163.101,1060000
165.626,1090000
166.363,1050000
167.969,1040000
168.202,1040000
169.983,1040000
171.886,1040000
171.892,1050000
171.919,1060000
181.916,1040000
182.46,1030000
183.183,1020000
184.527,1020000
189.455,1060000
191.356,1050000
191.831,1060000
197.896,1050000
197.939,1050000
201.387,1060000
205.335,1060000
205.769,1070000
205.93,1050000
210.399,1030000
211.742,1050000
213.901,1100000
214.532,1100000
216.622,1090000
217.417,1080000
217.726,1080000
222.505,1090000
222.699,1070000
222.808,1100000
223.282,1070000
230.179,1090000
230.502,1100000
230.679,1120000
238.483,1120000
239.814,1160000
239.998,1140000
