arrival_time,market_id_in_subsession,e_best_bid,e_best_offer,e_signed_volume
0.023,1,590000,2147483647,0
1.943,1,930000,2147483647,0
1.9469999999999998,1,930000,1010000,0
2.963,1,930000,970000,0
3.464,1,960000,970000,0
3.838,1,960000,970000,0
5.204,1,960000,960000,0
6.081,1,960000,970000,0
6.09,1,960000,970000,0
8.812999999999999,1,960000,970000,0
8.822000000000001,1,940000,970000,0
9.675,1,940000,950000,0
10.63,1,940000,950000,0
11.012,1,940000,950000,0
11.217,1,890000,950000,0
11.597999999999999,1,880000,950000,0
11.747,1,880000,950000,0
11.901,1,900000,950000,0
12.328,1,880000,950000,0
12.847000000000001,1,880000,890000,0
13.444,1,880000,890000,0
13.626,1,880000,890000,0
14.272,1,880000,890000,0
14.37,1,880000,880000,0
14.529000000000002,1,880000,880000,0
15.144,1,880000,880000,0
15.748,1,850000,880000,0
16.54,1,860000,880000,0
16.612000000000002,1,850000,880000,0
17.227,1,830000,880000,0
17.781,1,830000,870000,0
17.921,1,870000,870000,0
19.144000000000002,1,810000,870000,0
19.288,1,810000,820000,0
20.301,1,780000,820000,0
21.000999999999998,1,780000,800000,0
21.86,1,770000,820000,0
22.57,1,770000,810000,0
23.059,1,770000,800000,0
23.261,1,790000,800000,0
23.969,1,790000,810000,0
24.381,1,790000,870000,0
24.453000000000003,1,790000,830000,0
24.967,1,800000,830000,0
25.385,1,800000,820000,0
25.386999999999997,1,800000,830000,0
26.576,1,800000,810000,0
27.505,1,800000,810000,0
27.541,1,800000,810000,0
29.15,1,800000,820000,0
30.295,1,800000,820000,0
30.926,1,820000,820000,0
33.205999999999996,1,820000,820000,0
35.007,1,820000,820000,0
36.124,1,810000,820000,0
36.623000000000005,1,810000,840000,0
37.184,1,840000,850000,0
38.159,1,840000,880000,0
38.394,1,810000,880000,0
38.899,1,800000,880000,0
38.96,1,800000,840000,0
39.034,1,800000,810000,0
40.643,1,760000,840000,0
41.195,1,820000,840000,0
41.711000000000006,1,760000,840000,0
42.294,1,820000,840000,0
42.32899999999999,1,820000,850000,0
44.733000000000004,1,820000,860000,0
44.85,1,810000,860000,0
45.446999999999996,1,810000,820000,0
46.386,1,810000,820000,0
47.614,1,810000,820000,0
48.093999999999994,1,810000,820000,0
48.162,1,810000,840000,0
48.301,1,810000,860000,0
48.744,1,790000,860000,0
49.863,1,790000,870000,0
49.868,1,790000,790000,0
50.916000000000004,1,790000,790000,0
51.79,1,780000,790000,0
51.873000000000005,1,790000,790000,0
53.385,1,780000,790000,0
53.711999999999996,1,780000,800000,0
54.332,1,770000,800000,0
55.305,1,750000,800000,0
55.575,1,780000,800000,0
56.174,1,750000,800000,0
56.65,1,750000,780000,0
57.58,1,750000,800000,0
57.64,1,770000,800000,0
58.663999999999994,1,750000,810000,0
58.70399999999999,1,750000,770000,0
58.728,1,750000,750000,0
59.172,1,750000,760000,0
59.678999999999995,1,740000,770000,0
61.043,1,740000,780000,0
61.272,1,740000,780000,0
61.838,1,740000,760000,0
61.943999999999996,1,750000,760000,0
62.711000000000006,1,750000,780000,0
63.297,1,740000,780000,0
63.663999999999994,1,760000,780000,0
66.29899999999999,1,780000,780000,0
68.01899999999999,1,780000,790000,0
68.613,1,780000,790000,0
69.02,1,790000,790000,0
69.317,1,780000,790000,0
70.24,1,780000,790000,0
70.865,1,780000,830000,0
71.634,1,760000,830000,0
71.899,1,760000,830000,0
73.062,1,760000,830000,0
73.584,1,750000,830000,0
73.622,1,750000,2147483647,0
73.801,1,650000,2147483647,0
73.816,1,640000,2147483647,0
75.156,1,640000,700000,0
76.002,1,640000,670000,0
76.09,1,640000,660000,0
78.445,1,630000,660000,0
78.833,1,630000,660000,0
79.523,1,630000,660000,0
79.946,1,630000,630000,0
80.79,1,630000,640000,0
81.858,1,610000,640000,0
82.242,1,620000,640000,0
82.851,1,640000,640000,0
82.89200000000001,1,620000,640000,0
82.999,1,620000,670000,0
83.387,1,620000,650000,0
83.78200000000001,1,620000,670000,0
85.301,1,620000,700000,0
85.61,1,620000,690000,0
87.027,1,660000,690000,0
89.28200000000001,1,660000,670000,0
89.462,1,610000,670000,0
89.59200000000001,1,610000,630000,0
90.367,1,610000,670000,0
91.01899999999999,1,630000,670000,0
92.38799999999999,1,630000,690000,0
94.169,1,630000,670000,0
94.20700000000001,1,630000,660000,0
94.661,1,650000,660000,0
95.939,1,630000,660000,0
96.23899999999999,1,0,660000,0
96.844,1,0,670000,0
96.94,1,630000,670000,0
97.18799999999999,1,630000,690000,0
97.368,1,630000,670000,0
98.037,1,630000,670000,0
98.039,1,630000,670000,0
100.624,1,660000,670000,0
100.807,1,660000,660000,0
104.04700000000001,1,630000,660000,0
105.829,1,630000,680000,0
106.881,1,0,680000,0
108.62,1,0,680000,0
110.50200000000001,1,650000,680000,0
111.439,1,650000,680000,0
113.802,1,650000,730000,0
113.819,1,650000,680000,0
114.521,1,650000,680000,0
114.58200000000001,1,650000,670000,0
114.71,1,640000,670000,0
115.259,1,640000,640000,0
116.18,1,640000,640000,0
116.991,1,640000,640000,0
117.35799999999999,1,640000,640000,0
