arrival_time,price
2.563,620000
3.553,620000
5.781,620000
5.932,640000
6.243,680000
6.502,1070000
6.641,1090000
6.81,1110000
8.392,1100000
8.407,1110000
8.52,1110000
9.521,1100000
19.806,1110000
23.045,1100000
28.165,1120000
30.775,1090000
32.827,1090000
36.856,1090000
37.84,1100000
39.702,1070000
40.082,1010000
40.121,950000
43.917,920000
44.708,920000
45.505,920000
46.885,920000
47.57,910000
49.025,890000
49.812,860000
51.129,890000
54.671,890000
54.987,890000
55.162,890000
55.168,900000
56.327,900000
58.271,900000
58.788,910000
66.44,900000
67.143,910000
71.209,890000
72.212,890000
72.993,890000
74.448,830000
75.071,820000
77.127,800000
80.948,780000
86.92,800000
89.514,800000
89.582,800000
90.631,810000
92.125,920000
92.958,910000
97.142,910000
98.008,910000
102.743,900000
104.746,880000
105.157,860000
105.83,860000
108.369,860000
111.896,830000
112.871,830000
120.21,850000
123.583,860000
125.856,810000
126.13,840000
127.835,870000
129.681,880000
133.222,890000
133.571,900000
136.454,900000
141.796,910000
144.09,900000
146.101,890000
146.103,840000
147.49,780000
147.586,780000
147.918,760000
147.985,760000
149.585,700000
151.832,670000
152.438,670000
154.627,670000
156.003,670000
157.254,670000
160.292,650000
162.058,660000
165.174,650000
165.69,660000
168.564,660000
170.518,660000
170.816,650000
171.032,640000
171.431,640000
173.368,590000
174.959,570000
176.954,590000
178.689,590000
179.546,600000
182.621,580000
182.935,570000
184.573,550000
186.036,570000
186.814,580000
188.482,580000
190.271,560000
193.292,590000
193.592,590000
195.619,590000
198.489,570000
199.607,570000
201.798,600000
205.498,610000
209.326,590000
209.781,610000
220.195,650000
227.103,650000
228.57,650000
228.925,640000
229.316,630000
234.174,640000
237.851,620000
