arrival_time,price
0.233,990000
2.837,1000000
4.83,990000
5.298,980000
5.647,1030000
6.778,1000000
6.944,980000
7.538,970000
8.883,970000
14.337,960000
18.084,940000
22.209,940000
23.847,960000
27.731,980000
36.539,950000
36.671,950000
39.935,930000
41.207,930000
41.466,950000
44.956,930000
46.008,930000
47.874,1000000
50.956,1020000
51.165,1000000
51.756,1000000
51.862,1030000
52.371,1020000
55.398,1070000
56.257,1060000
56.454,1060000
58.246,1030000
64.843,1020000
65.456,1050000
66.382,990000
69.041,1040000
73.76,1030000
81.751,1060000
82.587,1050000
84.275,1050000
84.824,1050000
87.365,1060000
90.886,1050000
92.931,1060000
93.281,1060000
95.08,1030000
97.349,1020000
97.465,1020000
98.769,1030000
100.615,1020000
104.372,1000000
107.432,980000
109.711,980000
111.599,990000
111.689,990000
112.052,990000
112.762,980000
115.91,970000
116.549,980000
118.91,1000000
121.108,990000
126.646,990000
127.644,980000
129.239,1000000
129.821,990000
135.202,990000
136.129,970000
137.777,950000
137.884,950000
143.365,950000
144.7,950000
147.235,950000
152.346,950000
156.953,950000
157.21,950000
157.245,930000
161.734,940000
163.156,910000
164.057,950000
165.339,920000
166.343,910000
166.434,900000
171.589,890000
172.641,890000
173.652,860000
173.894,890000
179.579,840000
181.994,800000
182.982,830000
183.335,810000
184.263,860000
186.485,840000
188.477,850000
188.77,840000
189.674,840000
194.025,870000
196.114,850000
197.513,860000
198.405,860000
200.557,860000
201.256,850000
201.668,850000
204.267,870000
208.802,840000
210.99,840000
212.201,850000
213.28,860000
214.464,870000
218.62,930000
219.91,920000
223.784,940000
224.599,930000
225.127,920000
226.858,930000
227.699,910000
232.36,920000
232.861,950000
234.224,940000
234.942,950000
