arrival_time,price
4.359,1050000
4.887,1050000
4.994,1050000
5.275,1050000
5.61,1050000
6.793,1050000
11.408,1040000
13.995,1040000
14.574,1040000
15.863,1040000
16.11,1040000
17.785,1040000
20.418,1050000
23.193,1060000
24.501,1170000
29.956,1150000
31.322,1150000
40.393,1090000
43.026,1090000
45.28,1080000
46.003,1050000
46.706,1040000
49.788,1050000
51.535,1060000
51.669,1040000
52.157,1040000
54.144,940000
57.899,1020000
60.813,1020000
61.447,1060000
61.999,1020000
63.238,1010000
67.691,1000000
67.822,1010000
69.014,1030000
71.431,1040000
72.46,1030000
74.362,1030000
75.544,1030000
76.725,1000000
77.871,1050000
78.279,1020000
80.291,1060000
81.507,1060000
81.991,1090000
84.574,1090000
86.379,1070000
93.938,1060000
94.735,1070000
103.779,1060000
104.363,1030000
108.783,1050000
111.695,1020000
115.453,1010000
116.416,1010000
116.756,1020000
117.158,1020000
119.541,1010000
121.871,1050000
121.878,1010000
125.578,1010000
127.147,1030000
128.963,1030000
129.443,1010000
129.86,1000000
134.545,1030000
137.734,1030000
139.731,1020000
141.051,1020000
146.348,1010000
147.722,1010000
149.734,1000000
149.776,1000000
152.673,950000
153.569,1000000
154.729,980000
159.864,920000
161.087,930000
161.599,920000
161.641,940000
166.037,910000
167.917,920000
169.234,910000
170.483,950000
179.125,970000
180.01,970000
183.055,1000000
187.332,1000000
188.254,1000000
188.945,980000
192.757,1010000
195.372,1010000
196.654,1010000
197.03,1000000
200.777,1010000
203.018,990000
208.934,990000
211.279,1030000
215.738,1040000
221.682,1040000
223.097,1040000
223.892,1060000
225.113,1060000
225.283,1040000
226.929,1060000
229.892,1050000
230.339,1060000
233.288,1060000
238.048,1040000
