arrival_time,price
1.495,790000
4.208,970000
5.532,980000
6.504,980000
8.131,950000
9.622,950000
15.06,950000
16.977,920000
17.325,920000
18.53,940000
19.85,950000
20.319,940000
21.46,920000
30.956,930000
33.153,930000
40.255,940000
40.351,940000
41.56,940000
42.243,900000
43.164,870000
45.366,890000
46.421,870000
47.444,870000
55.264,890000
60.716,900000
61.994,860000
68.805,860000
71.598,870000
74.929,860000
77.861,880000
80.923,870000
82.348,900000
83.388,900000
85.945,890000
89.24,890000
98.302,830000
99.532,820000
101.437,810000
106.214,800000
106.69,810000
108.194,800000
109.665,790000
109.862,760000
111.169,700000
113.336,680000
114.445,680000
114.804,670000
117.057,690000
122.458,670000
123.517,660000
123.536,660000
129.068,660000
130.39,680000
130.849,690000
130.878,700000
132.462,740000
133.138,740000
133.327,740000
133.7,780000
135.115,830000
137.096,810000
137.419,790000
137.609,780000
140.268,760000
146.223,750000
147.142,760000
149.797,750000
152.374,750000
152.672,750000
153.641,770000
154.394,770000
156.36,770000
156.993,750000
161.245,790000
164.166,780000
164.8,790000
165.173,790000
167.299,780000
169.715,800000
172.584,810000
173.354,820000
173.855,820000
175.822,820000
180.677,840000
187.657,810000
188.229,820000
190.662,810000
191.9,830000
197.957,840000
200.448,830000
202.486,830000
202.929,830000
206.993,830000
207.119,830000
212.207,830000
213.289,830000
214.716,810000
215.43,810000
217.12,820000
218.107,840000
218.952,820000
220.716,810000
224.073,810000
225.017,810000
226.999,810000
227.598,810000
232.482,820000
234.383,820000
234.719,820000
