arrival_time,price
5.638,560000
5.797,580000
6.203,580000
6.39,610000
7.011,630000
7.397,990000
9.704,1000000
11.479,1000000
12.157,1010000
13.886,1020000
17.185,1000000
19.071,1010000
21.701,1020000
28.101,1010000
28.12,1000000
28.858,1040000
32.244,1050000
33.58,1030000
34.317,1020000
38.255,1010000
38.812,1010000
39.943,1010000
42.422,1020000
45.534,1040000
48.591,1020000
53.243,980000
53.934,970000
54.174,970000
54.591,960000
54.991,940000
56.142,920000
56.414,880000
61.095,890000
63.566,910000
63.986,890000
64.452,890000
66.19,890000
67.078,880000
67.287,870000
69.477,870000
75.298,870000
75.892,860000
80.458,870000
82.091,870000
82.856,870000
85.703,880000
86.09,880000
89.537,870000
91.086,870000
94.315,860000
95.49,870000
99.55,860000
100.772,850000
105.729,830000
108.888,810000
113.039,810000
113.491,810000
114.43,820000
115.12,820000
115.567,810000
118.884,760000
121.707,770000
121.955,770000
122.769,780000
124.362,760000
127.593,760000
130.203,760000
132.664,760000
137.498,780000
139.866,780000
140.567,780000
142.278,780000
143.863,790000
147.942,780000
153.087,780000
155.639,790000
156.006,790000
157.335,770000
158.781,720000
159.469,730000
161.747,720000
162.156,730000
162.215,730000
163.579,730000
165.959,710000
166.962,720000
170.548,720000
171.26,730000
176.795,700000
176.88,680000
178.593,680000
178.726,610000
194.456,610000
195.19,610000
195.793,590000
196.725,600000
199.211,600000
200.17,590000
202.266,590000
203.608,590000
208.027,620000
212.368,620000
218.11,610000
219.015,610000
225.968,630000
228.372,620000
231.619,650000
232.51,640000
233.639,620000
236.268,590000
237.579,620000
239.379,600000
