arrival_time,market_id_in_subsession,e_best_bid,e_best_offer,e_signed_volume
0.064,1,0,830000,0
0.095,1,0,820000,0
0.804,1,810000,820000,0
2.084,1,820000,820000,0
5.1370000000000005,1,820000,830000,0
6.279,1,830000,830000,0
7.515,1,830000,830000,0
7.817,1,830000,830000,0
8.743,1,830000,840000,0
8.965,1,830000,860000,0
9.068999999999999,1,830000,930000,0
9.256,1,900000,930000,0
9.648,1,900000,920000,0
9.703,1,920000,920000,0
10.8,1,900000,920000,0
11.377,1,900000,920000,0
12.468,1,900000,930000,0
13.735999999999999,1,900000,950000,0
14.16,1,910000,950000,0
14.165999999999999,1,910000,920000,0
15.448,1,900000,920000,0
15.73,1,900000,900000,0
16.84,1,860000,920000,0
17.442999999999998,1,880000,920000,0
18.993,1,880000,900000,0
19.131,1,890000,900000,0
19.535999999999998,1,890000,890000,0
21.643,1,890000,900000,0
22.570999999999998,1,890000,900000,0
22.666999999999998,1,890000,920000,0
23.569000000000003,1,890000,920000,0
24.288,1,890000,920000,0
25.691999999999997,1,890000,890000,0
28.930999999999997,1,890000,890000,0
29.656,1,880000,890000,0
29.679000000000002,1,880000,880000,0
32.549,1,870000,880000,0
34.086,1,870000,870000,0
34.224000000000004,1,860000,870000,0
36.826,1,870000,870000,0
37.786,1,870000,890000,0
38.118,1,870000,910000,0
38.321999999999996,1,870000,900000,0
38.598,1,870000,910000,0
40.793,1,880000,920000,0
40.84,1,880000,940000,0
40.863,1,940000,940000,0
41.195,1,880000,940000,0
41.262,1,880000,2147483647,0
41.409,1,880000,930000,0
41.608000000000004,1,880000,920000,0
42.673,1,880000,920000,0
42.92,1,910000,920000,0
44.148999999999994,1,920000,920000,0
44.155,1,920000,920000,0
44.519,1,920000,920000,0
44.678000000000004,1,920000,930000,0
45.418,1,910000,930000,0
46.006,1,910000,930000,0
46.799,1,910000,2147483647,0
47.888999999999996,1,910000,970000,0
48.28,1,880000,970000,0
49.927,1,880000,930000,0
49.931000000000004,1,880000,970000,0
50.326,1,960000,970000,0
51.978,1,940000,970000,0
52.052,1,920000,970000,0
52.233999999999995,1,890000,970000,0
52.643,1,910000,970000,0
53.051,1,910000,910000,0
54.016999999999996,1,890000,910000,0
56.345,1,880000,910000,0
57.997,1,880000,940000,0
58.262,1,880000,910000,0
58.821999999999996,1,890000,910000,0
59.196000000000005,1,890000,890000,0
60.768,1,890000,900000,0
60.851000000000006,1,890000,900000,0
61.18899999999999,1,900000,900000,0
61.806999999999995,1,890000,900000,0
62.081,1,900000,900000,0
63.937,1,900000,900000,0
64.27,1,900000,900000,0
65.626,1,900000,940000,0
66.541,1,900000,950000,0
67.181,1,870000,950000,0
67.568,1,900000,950000,0
67.57600000000001,1,900000,910000,0
70.429,1,900000,920000,0
71.07300000000001,1,910000,920000,0
71.095,1,920000,920000,0
72.251,1,920000,920000,0
73.98899999999999,1,920000,920000,0
74.888,1,920000,920000,0
75.244,1,920000,930000,0
75.546,1,920000,920000,0
78.774,1,920000,920000,0
79.292,1,920000,920000,0
79.346,1,910000,920000,0
79.597,1,910000,920000,0
80.708,1,920000,920000,0
81.094,1,920000,920000,0
81.133,1,920000,940000,0
81.5,1,920000,920000,0
82.126,1,920000,920000,0
82.604,1,920000,940000,0
82.89200000000001,1,920000,940000,0
83.92399999999999,1,920000,950000,0
84.854,1,920000,950000,0
85.275,1,920000,940000,0
86.84700000000001,1,900000,940000,0
86.915,1,910000,940000,0
87.12899999999999,1,930000,940000,0
87.531,1,930000,940000,0
88.875,1,930000,940000,0
90.516,1,910000,960000,0
90.664,1,910000,920000,0
92.367,1,890000,920000,0
93.37899999999999,1,890000,920000,0
93.476,1,890000,910000,0
93.946,1,900000,910000,0
95.62200000000001,1,890000,910000,0
95.958,1,900000,910000,0
96.071,1,890000,910000,0
96.416,1,890000,910000,0
97.788,1,890000,910000,0
99.50399999999999,1,910000,920000,0
101.07700000000001,1,910000,950000,0
101.708,1,910000,960000,0
102.21700000000001,1,910000,960000,0
102.55,1,920000,960000,0
103.236,1,930000,2147483647,0
103.37799999999999,1,930000,940000,0
104.37700000000001,1,940000,940000,0
106.28299999999999,1,940000,2147483647,0
106.303,1,940000,1080000,0
106.45200000000001,1,1030000,1080000,0
106.49600000000001,1,1060000,1080000,0
106.74,1,1080000,1080000,0
107.064,1,1060000,1080000,0
107.339,1,1060000,1110000,0
108.161,1,1060000,1110000,0
108.70299999999999,1,1060000,1110000,0
109.306,1,1030000,1110000,0
109.84700000000001,1,1030000,1050000,0
111.116,1,1020000,1050000,0
111.411,1,980000,1050000,0
111.666,1,980000,1050000,0
112.038,1,980000,1020000,0
112.098,1,1000000,1020000,0
112.432,1,1000000,1020000,0
112.602,1,1000000,1020000,0
112.868,1,1000000,1020000,0
113.736,1,1000000,1050000,0
114.359,1,1050000,1050000,0
114.61399999999999,1,1000000,1050000,0
114.911,1,1000000,1050000,0
117.19,1,1000000,1030000,0
117.852,1,990000,1030000,0
117.947,1,980000,1030000,0
118.37200000000001,1,0,1040000,0
118.814,1,0,1010000,0
119.79299999999999,1,0,1040000,0
119.86,1,0,1050000,0
119.931,1,1000000,1050000,0
122.36200000000001,1,1000000,1020000,0
123.45700000000001,1,1000000,1030000,0
123.573,1,1000000,1100000,0
124.594,1,1000000,1040000,0
124.852,1,1020000,1040000,0
126.059,1,1020000,1090000,0
126.163,1,1060000,1090000,0
126.601,1,1020000,1090000,0
128.833,1,1040000,1090000,0
129.329,1,1040000,1070000,0
129.468,1,1050000,1070000,0
129.952,1,1050000,1060000,0
131.35,1,1050000,1070000,0
131.644,1,1050000,1050000,0
132.726,1,1050000,1070000,0
134.14,1,1050000,1080000,0
134.499,1,1050000,1100000,0
134.88,1,1050000,2147483647,0
135.25799999999998,1,1150000,2147483647,0
135.265,1,1160000,2147483647,0
135.55700000000002,1,1150000,2147483647,0
136.312,1,1150000,1200000,0
138.078,1,1150000,1150000,0
138.2,1,1150000,1150000,0
138.88299999999998,1,1150000,1150000,0
139.16,1,1150000,1150000,0
139.407,1,1130000,1150000,0
139.838,1,1130000,1150000,0
140.65,1,1130000,1150000,0
140.929,1,1130000,1150000,0
141.062,1,1130000,1150000,0
141.289,1,1120000,1150000,0
141.428,1,1120000,1150000,0
141.596,1,1120000,1150000,0
142.488,1,1030000,1150000,0
142.494,1,1030000,1060000,0
143.259,1,1010000,1060000,0
144.049,1,1010000,1020000,0
144.49,1,1010000,1020000,0
144.995,1,1010000,1040000,0
145.351,1,1010000,1030000,0
146.792,1,1000000,1030000,0
147.321,1,1000000,1030000,0
148.869,1,1010000,1030000,0
151.56,1,1010000,1030000,0
152.808,1,1010000,1030000,0
153.541,1,1020000,1030000,0
153.798,1,1020000,1030000,0
153.861,1,1010000,1030000,0
154.115,1,1010000,1050000,0
154.267,1,1010000,1040000,0
154.935,1,1010000,1030000,0
155.537,1,990000,1030000,0
156.306,1,990000,1030000,0
157.539,1,1020000,1030000,0
158.018,1,1030000,1030000,0
159.858,1,1020000,1030000,0
160.344,1,1020000,1030000,0
160.40200000000002,1,1020000,1030000,0
160.922,1,1030000,1050000,0
160.924,1,1050000,1050000,0
161.186,1,1050000,1050000,0
161.675,1,1050000,1070000,0
162.885,1,1030000,1070000,0
163.82299999999998,1,1010000,1070000,0
164.109,1,1010000,1030000,0
164.4,1,1010000,1030000,0
166.84799999999998,1,1010000,1010000,0
167.582,1,1010000,1030000,0
167.84,1,1010000,1030000,0
167.946,1,1010000,1030000,0
169.037,1,1010000,1010000,0
169.447,1,1000000,1010000,0
169.456,1,1000000,1010000,0
170.44099999999997,1,990000,1010000,0
171.882,1,990000,1010000,0
172.46200000000002,1,990000,990000,0
175.113,1,980000,990000,0
175.78400000000002,1,970000,970000,0
177.771,1,970000,970000,0
180.171,1,960000,970000,0
181.771,1,960000,990000,0
181.924,1,960000,970000,0
182.388,1,960000,990000,0
183.68900000000002,1,960000,960000,0
183.792,1,960000,990000,0
184.9,1,960000,990000,0
185.21099999999998,1,960000,990000,0
185.24599999999998,1,960000,990000,0
185.385,1,950000,950000,0
185.39,1,950000,990000,0
185.551,1,990000,990000,0
186.055,1,990000,990000,0
187.669,1,990000,990000,0
188.016,1,990000,990000,0
188.02700000000002,1,990000,990000,0
188.102,1,990000,990000,0
188.24200000000002,1,980000,990000,0
189.27,1,960000,990000,0
190.112,1,960000,990000,0
190.516,1,960000,1000000,0
191.053,1,960000,980000,0
191.065,1,960000,1000000,0
191.951,1,970000,1000000,0
192.142,1,970000,980000,0
192.16299999999998,1,970000,1000000,0
192.93599999999998,1,960000,1000000,0
193.483,1,970000,1000000,0
196.139,1,970000,980000,0
197.46599999999998,1,970000,990000,0
197.863,1,980000,990000,0
198.96599999999998,1,980000,990000,0
202.128,1,980000,990000,0
202.31,1,980000,990000,0
202.59099999999998,1,970000,990000,0
204.054,1,960000,990000,0
205.63,1,940000,2147483647,0
206.127,1,860000,2147483647,0
206.86,1,850000,2147483647,0
207.153,1,820000,2147483647,0
207.878,1,820000,880000,0
208.912,1,820000,850000,0
209.918,1,810000,850000,0
210.972,1,820000,850000,0
211.227,1,810000,850000,0
211.24900000000002,1,810000,850000,0
212.331,1,810000,830000,0
212.53900000000002,1,820000,830000,0
212.636,1,820000,830000,0
212.801,1,820000,830000,0
213.81,1,820000,830000,0
215.252,1,820000,830000,0
215.638,1,820000,820000,0
216.36900000000003,1,810000,820000,0
216.44299999999998,1,800000,820000,0
216.46900000000002,1,810000,820000,0
217.97400000000002,1,800000,820000,0
218.201,1,800000,820000,0
219.65599999999998,1,800000,820000,0
219.905,1,800000,820000,0
220.093,1,800000,820000,0
221.61900000000003,1,800000,820000,0
222.502,1,800000,820000,0
223.797,1,800000,820000,0
224.457,1,800000,820000,0
224.61700000000002,1,800000,810000,0
224.799,1,800000,810000,0
225.01,1,800000,800000,0
226.141,1,800000,810000,0
226.31,1,800000,810000,0
226.636,1,800000,810000,0
226.792,1,800000,820000,0
226.80599999999998,1,810000,820000,0
228.34799999999998,1,810000,810000,0
228.824,1,810000,810000,0
228.986,1,810000,850000,0
229.173,1,810000,850000,0
229.428,1,840000,850000,0
229.929,1,820000,850000,0
230.0,1,810000,850000,0
231.09,1,810000,850000,0
231.731,1,810000,860000,0
231.766,1,810000,860000,0
231.9,1,840000,860000,0
232.02900000000002,1,810000,860000,0
232.518,1,810000,850000,0
234.05,1,810000,830000,0
234.84400000000002,1,810000,810000,0
235.44400000000002,1,810000,830000,0
237.327,1,810000,830000,0
237.593,1,830000,830000,0
239.179,1,830000,840000,0
